id_caso,tipo_caso,nivel_acesso,pergunta,gabarito,resposta_sem_rag,resposta_com_rag,fontes_rag,modo_sem_rag,modo_reranking,modo_recuperacao,modo_com_rag,modo_juiz,provedor_gerador,modelo_gerador,metricas_gerador,provedor_juiz,modelo_juiz,metricas_juiz,acerto_sem_rag,nota_sem_rag,justificativa_sem_rag,acerto_com_rag,nota_com_rag,justificativa_com_rag,fallbacks
1,direta,publico,Quais documentos são necessários para abrir conta?,"CPF válido, comprovante de residência e documento de identidade","Não há informação suficiente no contexto geral para listar os documentos exatos exigidos pelo Bytebank, pois trata-se de uma instituição fictícia.

No entanto, em um cenário bancário tradicional no Brasil, a abertura de conta geralmente requer documentos de identificação oficial com foto (como RG ou CNH), CPF, comprovante de residência recente e comprovante de renda, mas as regras específicas de cada banco podem variar.","Para abrir uma conta corrente no Bytebank, são necessários os seguintes documentos: CPF válido, comprovante de residência emitido nos últimos 90 dias e documento de identidade com foto [id=1].","id=1, id=2, id=50, id=28",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=3; retries=0; latency_ms=4108,gemini,gemini-3.5-flash-lite,requests=2; retries=0; latency_ms=1766,não,0,"A resposta avaliada falha em fornecer os documentos específicos exigidos pelo gabarito (CPF válido, comprovante de residência e documento de identidade), desviando-se para uma explicação genérica sobre bancos tradicionais.",sim,100,"A resposta contem todos os documentos essenciais exigidos pelo gabarito (CPF valido, comprovante de residencia e documento de identidade), acrescenta detalhes validos e especifica a fonte corretamente no formato exigido.",
2,direta,publico,Quanto custa a TED adicional?,"R$9,90","Como o Bytebank deste exercício é fictício e não tenho acesso a documentos ou políticas dessa instituição, não há informação suficiente para responder a essa pergunta. Não é possível inventar uma regra bancária sobre o custo da TED adicional.","O custo da TED adicional é de R$9,90 por transferência [id=3].","id=3, id=30, id=25, id=36",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=6; retries=0; latency_ms=7122,gemini,gemini-3.5-flash-lite,requests=4; retries=0; latency_ms=3484,não,0,"A resposta avaliada falha em fornecer o valor correto da TED adicional presente no gabarito (R$ 9,90), alegando falta de informações devido ao caráter fictício do banco, o que constitui uma omissão total do fato central.",sim,100,"A resposta fornecida está totalmente correta, informa o valor exato de R$9,90 presente no gabarito, adiciona detalhes semanticamente equivalentes e inclui a citação da fonte no formato exigido [id=3].",
3,direta,publico,Qual é a anuidade do cartão Platinum?,"R$59,90","Como o Bytebank deste exercício é fictício e eu não possuo documentos ou políticas internas para consultar, não há informação suficiente para responder qual é a anuidade do cartão Platinum. Não inventarei regras bancárias.","A anuidade do cartão Platinum é de R$59,90 mensais, sendo isentável com gastos acima de R$5.000 [id=9].","id=9, id=36, id=11, id=45",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=9; retries=0; latency_ms=10480,gemini,gemini-3.5-flash-lite,requests=6; retries=0; latency_ms=4967,não,0,"A resposta avaliada falhou em fornecer o valor da anuidade presente no gabarito, alegando falta de informações, embora o dado estivesse disponível para comparação.",sim,100,"A resposta forneceu o valor correto da anuidade conforme o gabarito (R$59,90) e incluiu a citação exigida no formato correto.",
4,direta,publico,Qual o limite máximo do cartão Gold?,R$20.000,Não há informação suficiente no meu conhecimento geral sobre o Bytebank (por se tratar de uma instituição fictícia) para determinar qual é o limite máximo do cartão Gold. Não inventarei uma regra bancária.,O limite máximo do cartão Gold é R$20.000 [id=11].,"id=11, id=9, id=7, id=13",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini+local_deterministic,gemini,gemini-3.5-flash-lite,requests=12; retries=0; latency_ms=13681,gemini,gemini-3.5-flash-lite,requests=13; retries=5; latency_ms=8294,não,0,fato do gabarito ausente,sim,100,"A resposta está totalmente correta, informa o valor exato do gabarito e inclui a citação da fonte no formato solicitado.","juiz Gemini: ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.5-flash-lite\nPlease retry in 57.591760869s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-3.5-flash-lite', 'location': 'global'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '57s'}]}}"
5,direta,publico,Como contestar uma transação não reconhecida?,em até 48 horas pelo aplicativo,"Com base no conhecimento geral sobre o funcionamento de instituições financeiras (e não em políticas específicas do Bytebank), para contestar uma transação não reconhecida, geralmente você deve seguir os seguintes passos:

1. **Entrar em contato com o banco o mais rápido possível:** Utilize os canais oficiais de atendimento ( aplicativo, chat, telefone ou agência) para informar que a compra ou transferência não foi feita por você.
2. **Bloquear o cartão ou conta (se aplicável):** Se houver suspeita de fraude ou roubo de dados, é recomendable bloquear temporariamente o cartão para evitar novas cobranças indevidas.
3. **Fornecer detalhes da transação:** O atendente ou o sistema solicitará informações como data, valor e nome do estabelecimento da transação contestada.
4. **Abrir um chamado/protocolo:** O banco registrará a contestação e fornecerá um número de protocolo para acompanhamento.
5. **Análise de segurança:** A instituição financeira fará uma investigação interna. Em muitos casos, o valor é estornado provisoriamente enquanto o caso é analisado.

Como não tenho acesso às regras específicas do Bytebank, não é possível informar prazos exatos ou procedimentos internos específicos da instituição. Recomendo verificar diretamente no aplicativo ou site oficial do banco.","Para contestar uma transação não reconhecida, você deve realizar o procedimento pelo aplicativo em até 48 horas após a identificação [id=30]. Após a contestação, é realizado um estorno provisório em até 2 dias úteis enquanto a investigação é conduzida [id=30].","id=30, id=12, id=2, id=5",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=15; retries=0; latency_ms=17789,gemini,gemini-3.5-flash-lite,requests=15; retries=5; latency_ms=10200,não,20,"A resposta fornecida menciona o uso do aplicativo de forma genérica, mas falha em informar o prazo central exigido no gabarito (48 horas), além de alegar que não sabe os prazos exatos e fornecer um texto excessivamente longo com procedimentos genéricos que não respondem diretamente à pergunta com base no gabarito fornecido.",sim,100,"A resposta fornecida cobre corretamente o fato central do gabarito (em até 48 horas pelo aplicativo), inclui a citação da fonte no formato exigido [id=30] e adiciona informações contextuais sem contradizer o gabarito.",
6,direta,publico,Qual o prazo para excluir dados pessoais?,15 dias úteis,"Como o Bytebank deste exercício é fictício e não há informações fornecidas sobre as políticas internas da instituição, não é possível responder qual é o prazo específico adotado pelo banco para excluir dados pessoais.

Em termos gerais (como na legislação brasileira de proteção de dados, a LGPD), o prazo ou a obrigatoriedade da exclusão de dados depende de fatores como o término do tratamento, o pedido de eliminação pelo titular ou o cumprimento de obrigações legais e regulatórias de retenção de dados (por exemplo, normas do Banco Central que exigem a guarda de determinados registros financeiros por alguns anos). Como não há dados suficientes sobre o cenário específico, prefiro não inventar uma regra bancária.",As solicitações de exclusão de dados pessoais são processadas em até 15 dias úteis [id=28].,"id=28, id=26, id=5, id=15",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=18; retries=0; latency_ms=21102,gemini,gemini-3.5-flash-lite,requests=17; retries=5; latency_ms=12027,não,0,"A resposta avaliada afirma que n'o &eacute; poss&iacute;vel responder e traz considera&ccedil&otilde;es gerais sobre a LGPD, falhando em fornecer o prazo de 15 dias &uacute;teis especificado no gabarito.",sim,100,"A resposta fornecida expressa corretamente o prazo de 15 dias úteis, mantendo o sentido do gabarito, e inclui a citação da fonte no formato exigido.",
7,direta,publico,Qual o prazo de resposta da ouvidoria?,10 dias úteis,"Com base apenas no meu conhecimento geral sobre o funcionamento de ouvidorias no sistema financeiro brasileiro (e como o Bytebank é uma instituição fictícia e não há informações específicas fornecidas), não há dados suficientes para afirmar qual é o prazo de resposta da ouvidoria deste banco específico.

Regras gerais de mercado (como as do Banco Central do Brasil) costumam estabelecer o prazo de até 10 dias úteis para a resposta de ouvidorias, mas, como não há uma regra definida para este exercício, não é possível inventar uma diretriz bancária para o Bytebank.",O prazo de resposta da ouvidoria é de até 10 dias úteis [id=15].,"id=15, id=37, id=5, id=28",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=21; retries=0; latency_ms=24538,gemini,gemini-3.5-flash-lite,requests=19; retries=5; latency_ms=13480,não,40,"A resposta menciona o prazo correto de 10 dias úteis como regra geral do mercado, mas falha em afirmar isso diretamente para a pergunta, prolongando-se em justificativas sobre o caráter fictício da instituição.",sim,100,"A resposta está totalmente correta, traz o fato central (10 dias úteis), é semanticamente equivalente ao gabarito e inclui a citação da fonte no formato exigido.",
8,direta,publico,Qual o limite do Pix noturno?,R$1.000 por transação,"Como o Bytebank deste exercício é fictício e não tenho informações sobre as regras específicas dele (e não devo consultar políticas internas), não há informação suficiente para afirmar qual é o limite do Pix noturno nesta instituição.

No Brasil, de forma geral, o Banco Central estabelece que o limite padrão para transações Pix no período noturno (das 20h às 6h) é de R$ 1.000,00, a menos que o cliente solicite a alteração junto ao seu banco. No entanto, como se trata de um banco fictício e não possuo dados sobre as regras dele, não posso confirmar se essa mesma regra se aplica.",O limite de transferência via Pix no período noturno (das 20h às 6h) é de R$1.000 por transação [id=32].,"id=32, id=31, id=3, id=11",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=25; retries=1; latency_ms=28800,gemini,gemini-3.5-flash-lite,requests=21; retries=5; latency_ms=15947,sim,100,"A resposta avaliada reconhece corretamente que, de forma geral segundo o Banco Central, o limite do Pix noturno é de R$ 1.000,00, o que corresponde diretamente ao gabarito, apesar de contextualizar com a premissa de um banco fictício.",sim,100,"A resposta está totalmente correta, traz o valor exato exigido pelo gabarito (R$1.000 por transação), inclui detalhes adicionais corretos sobre o horário e cita a fonte no formato exigido.",
9,parafrase,publico,Quais comprovantes preciso apresentar ao abrir uma conta?,"CPF válido, comprovante de residência e documento de identidade","Com base no meu conhecimento geral sobre abertura de contas bancárias no Brasil (e como o Bytebank é uma instituição fictícia e não há informações específicas fornecidas sobre suas regras), geralmente são exigidos os seguintes comprovantes:

1. **Documento de identidade oficial com foto** (como RG, CNH ou RNE).
2. **CPF** (muitas vezes já consta no documento de identidade).
3. **Comprovante de residência** recente (geralmente emitido nos últimos 90 dias, como conta de água, luz ou telefone).
4. **Comprovante de renda** (como holerites, contracheques ou declaração de Imposto de Renda), embora alguns bancos ofereçam contas que não exigem comprovação formal de renda.

Como não há informações suficientes sobre as políticas específicas do Bytebank, não é possível afirmar com certeza quais documentos exatos eles exigem.","Para abrir uma conta corrente no Bytebank, é necessário apresentar um CPF válido e um comprovante de residência emitido nos últimos 90 dias [id=1].","id=1, id=2, id=5, id=28",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=28; retries=1; latency_ms=32348,gemini,gemini-3.5-flash-lite,requests=23; retries=5; latency_ms=17649,sim,100,"A resposta menciona todos os itens essenciais do gabarito (documento de identidade, CPF e comprovante de residência), embora adicione informações extras sobre comprovação de renda e contexto fictício, o fato central exigido foi plenamente atendido.",não,60,"A resposta menciona o CPF e o comprovante de residência, mas omite o documento de identidade, que é um fato central exigido pelo gabarito. Embora cite a fonte corretamente, a omissão de um elemento essencial impede que seja considerada totalmente correta.",
10,parafrase,publico,Existe taxa na TED extra?,"R$9,90","Com base apenas no meu conhecimento geral sobre o sistema bancário brasileiro, de forma ampla, as instituições financeiras costumam cobrar tarifas para a realização de TEDs (Transferência Eletrônica Disponível), especialmente quando são realizadas fora dos canais digitais (como presencialmente na agência ou por telefone) ou em horários específicos. No entanto, como o Bytebank é uma instituição fictícia e não há informações suficientes ou documentos disponíveis sobre as regras específicas de tarifas desse banco, não é possível afirmar se existe ou não taxa para a ""TED extra"" no Bytebank, nem inventar essa regra bancária.","Sim, as TEDs adicionais (acima do limite de 5 gratuitas por mês) possuem o valor de R$9,90 por transferência [id=3].","id=3, id=2, id=14, id=50",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=31; retries=1; latency_ms=35330,gemini,gemini-3.5-flash-lite,requests=25; retries=5; latency_ms=19163,não,0,"A resposta avaliada falhou em fornecer o valor da taxa da TED extra (R$9,90) presente no gabarito, alegando desconhecimento sobre a instituição fictícia.",sim,100,"A resposta está correta, informa o valor correto de R$9,90 estipulado no gabarito, explica o contexto da taxa e inclui a citação da fonte no formato exigido.",
