id,dominio,secao,conteudo,nivel_acesso
1,conta_corrente,abertura,"Para abrir uma conta corrente no Bytebank é necessário ser maior de 18 anos e apresentar CPF válido, comprovante de residência emitido nos últimos 90 dias e documento de identidade com foto.",publico
2,conta_corrente,abertura,Menores de 18 anos podem abrir conta conjunta com responsável legal que já possua conta ativa no Bytebank há pelo menos 6 meses.,publico
3,conta_corrente,tarifas,"A conta corrente digital Bytebank não possui tarifa de manutenção mensal. Transferências via Pix são ilimitadas e gratuitas. TEDs possuem limite de 5 gratuitas por mês e R$9,90 por transferência adicional.",publico
4,conta_corrente,tarifas,"Clientes com investimentos acima de R$50.000 no Bytebank Investimentos são automaticamente migrados para o plano Premium, que inclui TEDs ilimitadas e cartão de crédito sem anuidade.",interno
5,conta_corrente,encerramento,O encerramento de conta corrente pode ser solicitado pelo aplicativo ou presencialmente. O prazo de processamento é de até 10 dias úteis. Saldos remanescentes serão transferidos para conta indicada.,publico
6,conta_corrente,encerramento,"Contas com pendências financeiras (cheques devolvidos, empréstimos em aberto) não podem ser encerradas até a regularização completa das obrigações.",interno
7,cartao_credito,solicitacao,"O cartão de crédito Bytebank está disponível nas modalidades Silver, Gold e Platinum. A aprovação depende de análise de crédito baseada em score interno e histórico de relacionamento com o banco.",publico
8,cartao_credito,solicitacao,Para solicitar o cartão Platinum é necessário possuir renda comprovada mínima de R$15.000 mensais ou investimentos superiores a R$100.000 no Bytebank.,interno
9,cartao_credito,anuidade,"O cartão Silver não possui anuidade. O cartão Gold possui anuidade de R$29,90 mensais, isentável com gastos acima de R$2.000 no mês. O cartão Platinum possui anuidade de R$59,90 mensais, isentável com gastos acima de R$5.000.",publico
10,cartao_credito,anuidade,"Clientes que possuem conta há mais de 2 anos e nunca tiveram inadimplência recebem desconto de 50% na anuidade do cartão Gold e Platinum automaticamente.",interno
11,cartao_credito,limite,"O limite inicial do cartão é definido pela análise de crédito. Aumentos de limite podem ser solicitados a cada 6 meses. O limite máximo do Silver é R$5.000, do Gold é R$20.000 e do Platinum é R$80.000.",publico
12,cartao_credito,bloqueio,"Em caso de perda ou roubo, o bloqueio do cartão deve ser feito imediatamente pelo aplicativo ou pela central de atendimento 0800-123-4567. O desbloqueio de cartão novo é feito exclusivamente pelo aplicativo.",publico
