Termo,Definição,Exemplo no contexto Bytebank
embedding,Vetor numérico que representa significado textual,"A política sobre Pix vira um vetor para encontrar perguntas semanticamente próximas"
chunk,Unidade menor de texto indexada,"Uma linha de política é dividida em chunk de até 500 caracteres"
overlap,Quantidade de texto repetida entre chunks,"100 caracteres preservam a ligação entre regra e exceção"
vector store,Banco especializado em vetores e metadados,"ChromaDB armazena embeddings das políticas fictícias"
retriever,Componente que recupera documentos relevantes,"O retriever retorna os quatro trechos mais similares"
similaridade de cosseno,Mede o ângulo entre vetores,"Pergunta sobre tarifa fica próxima do chunk de tarifas"
distância euclidiana,Mede distância geométrica entre vetores,"Pode comparar embeddings em um benchmark alternativo"
re-ranking,Reordenação de candidatos por relevância,"Oito candidatos são pontuados e quatro seguem para o LLM"
metadados,Informações associadas ao conteúdo,"dominio secao nivel_acesso e id filtram a recuperação"
token,Unidade processada pelo modelo,"Valores e termos de uma política consomem tokens da janela"
softmax,Função que converte logits em distribuição,"Um classificador pode distribuir probabilidade entre três intenções"
ANN,Busca aproximada por vizinhos mais próximos,"ANN reduz latência quando o índice crescer"
busca semântica,Busca por significado e não apenas texto exato,"Perguntar custo de transferência encontra uma regra sobre TED"
fine-tuning,Ajuste de pesos com exemplos de treinamento,"Pode ensinar tom de atendimento mas não é a fonte das tarifas"
RAG,Geração aumentada por recuperação,"O chatbot consulta a política antes de responder e cita a fonte"
